1.0001	3	20240101	0.9999
1.0002	3	20240102	1.0001
0.9998	3	20240103	0.9997
1.5321	6	20240101	1.5318
1.5330	6	20240102	1.5325
1.5310	6	20240103	1.5312
0.7650	14	20240101	0.7648
0.7655	14	20240102	0.7652
0.7660	14	20240103	0.7658
1.2210	29	20240101	1.2208
1.2215	29	20240102	1.2212
1.2200	29	20240103	1.2205
6.4500	36	20240101	6.4490
6.4520	36	20240102	6.4510
6.4480	36	20240103	6.4475
110.250	52	20240101	110.200
110.300	52	20240102	110.280
110.150	52	20240103	110.190
0.8820	98	20240101	0.8818
0.8825	98	20240102	0.8822
